fecha,cetes_28
2013-11-26,3.4
2013-12-03,3.38
2013-12-09,3.34
2013-12-17,3.27
2013-12-23,3.18
2013-12-30,3.16
2014-01-07,3.17
2014-01-14,3.05
2014-01-21,3.13
2014-01-28,3.18
2014-02-04,3.18
2014-02-11,3.16
2014-02-18,3.14
2014-02-25,3.15
2014-03-04,3.16
2014-03-11,3.14
2014-03-18,3.19
2014-03-25,3.19
2014-04-01,3.22
2014-04-08,3.2
2014-04-14,3.22
2014-04-22,3.25
2014-04-28,3.25
2014-05-06,3.25
2014-05-13,3.26
2014-05-20,3.28
2014-05-27,3.31
2014-06-03,3.29
2014-06-10,2.92
2014-06-17,2.95
2014-06-24,2.9
2014-07-01,2.85
2014-07-08,2.85
2014-07-15,2.84
2014-07-22,2.82
2014-07-29,2.8
2014-08-05,2.78
2014-08-12,2.77
2014-08-19,2.76
2014-08-26,2.76
2014-09-02,2.76
2014-09-09,2.84
2014-09-15,2.86
2014-09-23,2.86
2014-09-30,2.85
2014-10-07,2.86
2014-10-14,2.96
2014-10-21,2.93
2014-10-28,2.9
2014-11-04,2.91
2014-11-11,2.9
2014-11-18,2.83
2014-11-25,2.76
2014-12-02,2.84
2014-12-09,2.85
2014-12-16,2.84
2014-12-22,2.78
2014-12-29,2.74
2015-01-06,2.43
2015-01-13,2.79
2015-01-20,2.72
2015-01-27,2.75
2015-02-03,2.74
2015-02-10,2.78
2015-02-17,2.83
2015-02-24,2.9
2015-03-03,3.01
2015-03-10,3.05
2015-03-17,3.04
2015-03-24,3.05
2015-03-30,3.02
2015-04-07,3.02
2015-04-14,3.0
2015-04-21,2.96
2015-04-28,2.85
2015-05-05,2.98
2015-05-12,2.97
2015-05-19,2.99
2015-05-26,2.99
2015-06-02,2.97
2015-06-09,2.96
2015-06-16,2.94
2015-06-23,2.98
2015-06-30,3.0
2015-07-07,2.96
2015-07-14,2.96
2015-07-21,3.01
2015-07-28,3.01
2015-08-04,3.02
2015-08-11,3.01
2015-08-18,3.02
2015-08-25,3.12
2015-09-01,3.09
2015-09-08,3.11
2015-09-14,3.18
2015-09-22,3.02
2015-09-29,3.02
2015-10-06,2.98
2015-10-13,3.0
2015-10-20,3.04
2015-10-27,3.05
2015-11-03,3.03
2015-11-10,3.0
2015-11-17,3.0
2015-11-24,3.03
2015-12-01,3.11
2015-12-08,3.2
2015-12-15,3.2
2015-12-22,3.15
2015-12-29,3.05
2016-01-05,3.05
2016-01-12,3.05
2016-01-19,3.09
2016-01-26,3.14
2016-02-02,3.16
2016-02-09,3.2
2016-02-16,3.23
2016-02-23,3.85
2016-03-01,3.88
2016-03-08,3.78
2016-03-15,3.8
2016-03-18,3.78
2016-03-29,3.76
2016-04-05,3.73
2016-04-12,3.74
2016-04-19,3.74
2016-04-26,3.76
2016-05-03,3.77
